filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1393269,F3N,C00706564,LERAH LEE FOR CONGRESS,GA,07,Q1,63950.16,0.00,0.00,0.00,65989.51,643984.13,119203.17,20745.58
1393201,F3N,C00734509,ALLEN R DAVIDSON FOR CONGRESS,IN,05,Q1,0.00,0.00,689.07,2944.00,3633.07,3633.07,3633.07,0.00
1385043,F3N,C00713297,Wendy Davis for Congress,TX,21,12P,327424.27,8000.00,0.00,0.00,335474.54,2186063.87,236226.03,1314043.41
1393378,F3N,C00711275,THE COMMITTEE TO ELECT MICHAEL HEPBURN,FL,27,Q1,0.00,0.00,0.00,0.00,0.00,10300.00,32.81,0.00
1385046,F3N,C00499392,Valadao For Congress,CA,21,12P,137322.28,23200.00,0.00,0.00,184672.28,1376800.35,145808.50,1054791.88
1389712,F3N,C00736942,KAHN 4 CONGRESS,OH,01,12P,746.80,0.00,0.00,0.00,746.80,746.80,0.00,746.80
1393666,F3N,C00716258,NEUMANN FOR CONGRESS,WI,03,Q1,1528.00,0.00,942.00,0.00,2470.00,23540.89,3771.71,8290.06
1385072,F3N,C00545772,Thom Tillis Committee,NC,,12P,403542.85,97700.00,0.00,0.00,700554.87,10835334.57,604538.98,5403423.33
1393567,F3N,C00709014,BILL SCHAFER FOR CONGRESS,IA,03,Q1,4466.01,0.00,0.00,0.00,4466.01,4466.01,7283.91,-2817.90
1385066,F3N,C00370056,Devin Nunes Campaign Committee,CA,22,12P,1626982.33,25000.00,0.00,0.00,1651982.33,12759938.93,1123310.36,7719327.68
1393412,F3A,C00738500,Sean Jackson for Congress,FL,07,Q1,1070.00,0.00,0.00,0.00,1070.00,1070.00,42.16,1027.84
1393907,F3N,C00714907,OLA FOR CONGRESS,NY,19,Q1,59202.05,0.00,0.00,201400.00,260602.05,266099.82,11495.03,254379.48
1385094,F3N,C00681544,Ted Howze for Congress 2020,CA,10,12P,19919.20,0.00,0.00,0.00,25414.33,1028019.92,441538.52,172139.60
1385101,F3N,C00662577,Kathy Manning for Congress,NC,06,12P,328487.76,10000.00,0.00,0.00,338487.76,872259.06,400837.36,436279.80
1385107,F3N,C00665638,Young Kim for Congress,CA,39,12P,191809.82,12800.00,0.00,0.00,204609.82,1513912.91,244521.92,849569.20
1385109,F3N,C00639146,Josh Harder for Congress,CA,10,12P,353386.36,10050.00,0.00,0.00,377342.41,3703425.81,115156.89,2874761.10
1391071,F3A,C00716498,ESTHER FOR CONGRESS,IL,17,12P,95079.58,13500.00,0.00,0.00,108835.64,365296.61,180070.60,112179.27
1385116,F3N,C00649350,MJ for Texas,TX,,12P,567572.12,4500.00,0.00,0.00,638358.13,3864236.07,791210.32,850800.99
1385121,F3N,C00700559,Greg Raths for Congress 2020,CA,45,12P,36171.71,0.00,0.00,0.00,42218.45,451636.81,80714.70,126113.68
1389678,F3A,C00556944,Bruce Davis for US Congress,NC,13,Q1,1175.00,1000.00,2280.06,6838.18,11293.24,11368.24,6586.14,6616.95
1393253,F3N,C00738500,Sean Jackson for Congress,FL,07,Q1,70.00,0.00,0.00,0.00,70.00,70.00,3.86,66.14
1393927,F3N,C00700922,Scott Cooper for Congress,NC,02,Q1,0.00,0.00,0.00,0.00,13689.20,596491.60,95219.91,126128.30
1385128,F3N,C00709410,Cal for NC,NC,,12P,1181192.31,60725.00,0.00,0.00,1392349.09,4733473.77,1625121.29,1468572.53
1393259,F3N,C00712067,CORNWELL FOR CONGRESS,NY,22,Q1,1335.00,0.00,0.00,0.00,1335.00,105531.00,20712.46,5703.79
1385165,F3N,C00637868,Colin Allred for Congress,TX,32,12P,190715.03,16500.00,0.00,0.00,207234.85,2726392.99,71835.71,2053183.07
1395285,F3N,C00732545,Amy Kennedy for Congress,NJ,02,Q1,530153.39,36100.00,0.00,250000.00,816330.18,816330.18,409056.45,407273.73
1395029,F3N,C00728808,FRIENDS OF MATT TRUONG,VA,10,Q1,6568.58,800.00,0.00,7138.32,14506.90,23028.09,12037.78,7643.18
1393480,F3N,C00721894,THOMSEN FOR CONGRESS,PA,17,Q1,3809.00,0.00,0.00,0.00,3809.00,30914.70,4381.04,3164.14
1385179,F3N,C00731562,Clayton Brooks For Congress,NC,09,12P,30240.00,0.00,25.00,2500.00,32784.89,35589.89,25435.57,9803.36
1385186,F3N,C00640045,Elizabeth Pannill Fletcher for Congress,TX,07,12P,127717.29,14500.00,0.00,0.00,142243.39,2526989.26,68747.63,1910488.45
1394661,F3N,C00697235,DANNY FOR CONGRESS,IL,14,Q1,1145.00,0.00,0.00,0.00,1145.00,6074.00,1398.96,1945.07
